_id,username,uid,attraction_review_name,nb_cities_visited,src,nb_contributions
ObjectID(5c2e9643aed964506ce18779),"angeliqueB13400","CF6DE92D779A2602EBE769FD3ED1BF40","Tour Eiffel","4","611787671","5"
ObjectID(5c2e9646aed964506ce1877a),"La_dame_aux_chats","B4BD4D2D11D4DE5F94DE07E1BEFF5776","Tour Eiffel","118","611797194","216"
ObjectID(5c2e9648aed964506ce1877b),"400st_phaniep","04FFC23E1FC5820C35B550C6EC5ACF8D","Tour Eiffel","19","611807240","39"
ObjectID(5c2e964aaed964506ce1877c),"zickette78","DB764E542929C4A698D1BF1669CEF558","Tour Eiffel","1 ville visitée","611837314","1 contribution"
ObjectID(5c2e964daed964506ce1877d),"laurenth509","E00EDC4C95F2A5E05AC8F140D69EA2B5","Tour Eiffel","2","611855566","3"
ObjectID(5c2e9650aed964506ce1877e),"2ADORIA","5DDEA385928A2398B4E26B11A9CC7159","Tour Eiffel","241","610875226","490"
ObjectID(5c2e9651aed964506ce1877f),"Cruiser358805","2CC245E0F1C986B577A8F8BF6171295D","Tour Eiffel","5","611142488","5"
ObjectID(5c2e9654aed964506ce18780),"40annemarieg","C45EFC7B66F1A9C3865B86D8D707A13D","Tour Eiffel","3","611149968","19"
ObjectID(5c2e9656aed964506ce18781),"sarahfY1062OW","1E68C2D9314EAC63C23674D3211D6860","Tour Eiffel","14","611225148","27"
ObjectID(5c2e9658aed964506ce18782),"751jeannep","ACC94BA236AD065421DB0C1C7801C563","Tour Eiffel","1 ville visitée","611371520","3"
ObjectID(5c2e965aaed964506ce18783),"marecbruno","B81D042380997DE77BD0150BAF68E17D","Tour Eiffel","17","611376570","87"
ObjectID(5c2e965caed964506ce18784),"drinehepp","1956389013E027791D2E8FFB9E873C72","Tour Eiffel","22","611378800","43"
ObjectID(5c2e965eaed964506ce18785),"W2005GLnicolec","280D31B14ACCF705FAF417F31DB2C247","Tour Eiffel","2","611400324","2"
ObjectID(5c2e9661aed964506ce18786),"evaariel","D68120BEB3556BDFCDB5CD88A416847D","Tour Eiffel","6","611402772","28"
ObjectID(5c2e9663aed964506ce18787),"calain_40","4B3BBAC94D112D08281D4F42974BFCDD","Tour Eiffel","38","610237957","69"
ObjectID(5c2e9666aed964506ce18788),"joel8177","85F9FC391B6ADAC29C98749034F81FA9","Tour Eiffel","20","610260109","17"
ObjectID(5c2e9668aed964506ce18789),"ghozlainec","E8455B9ADD01961E6EA3F3ECA80C3938","Tour Eiffel","3","610282238","4"
ObjectID(5c2e966baed964506ce1878a),"Ambassador801880","72A8AF07A121074D4A27687532BB5891","Tour Eiffel","1 ville visitée","610337514","1 contribution"
ObjectID(5c2e966eaed964506ce1878b),"dorh584","C5452D1FDE770DF9FE50E34663B88633","Tour Eiffel","19","610460028","28"
ObjectID(5c2e9670aed964506ce1878c),"fran_oisej407","E94B75335EDA5DC544FF788F98498843","Tour Eiffel","7","610643955","12"
ObjectID(5c2e9672aed964506ce1878d),"mathis444","B0C2F2F5433635A487609BE907C3FB38","Tour Eiffel","5","610682563","11"
ObjectID(5c2e9675aed964506ce1878e),"linakikimimijc","F3568881D3F48FE65322AB14DEB9452E","Tour Eiffel","23","610736322","33"
ObjectID(5c2e9678aed964506ce1878f),"663benjaminr","7C63D7DA31A85CEDAD4BA9ED8B2CA8AC","Tour Eiffel","126","610745567","305"
ObjectID(5c2e967aaed964506ce18790),"priscoco","0C237F040C9245257AF1D9AD90D89EBF","Tour Eiffel","17","609765281","64"
ObjectID(5c2e967daed964506ce18791),"VeroniquePol","E2CE5B9BFBF803AAA27B523683C4ABAC","Tour Eiffel","17","609781199","58"
ObjectID(5c2e9680aed964506ce18792),"Kody69","C66E81F1DA513CF464421FDA72373890","Tour Eiffel","39","609815232","90"
ObjectID(5c2e9682aed964506ce18793),"Fifi31240","B743225AA4B62DDF1066A347DA927A0B","Tour Eiffel","21","609896607","32"
ObjectID(5c2e9685aed964506ce18794),"Oliviercigogne68","8100CE318927699F4348D1B3D600F344","Tour Eiffel","14","609940931","71"
ObjectID(5c2e9688aed964506ce18795),"Zouzounette67","F81B0AD66985134CA44AC6EA07FB60F9","Tour Eiffel","15","610035998","22"
ObjectID(5c2e968aaed964506ce18796),"matla70","72FD4CDD697F91E28148459C522A6165","Tour Eiffel","5","610083880","6"
ObjectID(5c2e968daed964506ce18797),"isabelle_DN","2E31FD2D410321A39BF1CD22C7F2547E","Tour Eiffel","38","610088718","8"
ObjectID(5c2e9690aed964506ce18798),"val302","4966DC3C6D2D812BEB5BF59DF93F78B1","Tour Eiffel","34","610175962","221"
ObjectID(5c2e9692aed964506ce18799),"seasiamoise","CED2D50259E5900FD851D9DE4368C8D7","Tour Eiffel","155","609192241","176"
ObjectID(5c2e9694aed964506ce1879a),"coolk137","1B9F4E308DC93D90AAACB7C696A8730A","Tour Eiffel","28","609212410","71"
ObjectID(5c2e9696aed964506ce1879b),"Viva31620","AE1437C59C7F378C9137D070AE1DCBCC","Tour Eiffel","186","609352731","208"
ObjectID(5c2e9699aed964506ce1879c),"agn_sll","9CEBFD0E86C5154CAE47AD1DCE452EFB","Tour Eiffel","9","609358636","13"
